lexeme_id,lemma,category,senses,forms
L557076,അംഗുലിമുദ്രിക,noun,0,14
L506739,അംഗുലിമോടനം,noun,0,14
L554186,അംഗുലിസംജ്ഞ,noun,0,14
L517137,അംഗുലിസംഭൂതം,noun,0,14
L517378,അംഗുലിസന്ദേശം,noun,0,14
L558647,അംഗുലീഫല,noun,0,14
L517688,അംഗുലീയകം,noun,0,14
L554187,അംഗുലീസംജ്ഞ,noun,0,14
L507467,അംഗുഷ്ഠം,noun,0,14
L517773,അംഗുഷ്ഠപദം,noun,0,14
L514750,അംഗുഷ്ഠാസം,noun,0,14
L454207,അംഗോള,proper noun,1,1
L510748,അംഗോളം,noun,0,14
L549718,അംഗർക്കാവ്,noun,0,14
L550371,അംഘസ്സ്,noun,0,14
L529166,അംഘ്രി,noun,0,14
L554098,അംഘ്രിജ,noun,0,14
L510143,അംഘ്രിപം,noun,0,14
L558666,അംഘ്രിബല,noun,0,14
L511729,അംഘ്രിസ്കന്ധം,noun,0,14
L582037,അംജദ്,proper noun,0,8
L553185,അംബ,noun,1,14
L511781,അംബം,noun,0,14
L509097,അംബകം,noun,0,14
L510076,അംബരം,noun,0,14
L553726,അംബരഗംഗ,noun,0,14
L541840,അംബരചാരി,noun,0,14
L539525,അംബരതടിനി,noun,0,14
L513868,അംബരദം,noun,0,14
L527192,അംബരനദി,noun,0,15
L524611,അംബരനദീപുരം,proper noun,0,7
L531470,അംബരമണി,noun,0,14
L553787,അംബരയുഗ,noun,0,14
L529925,അംബരലേഖി,noun,0,14
L531819,അംബരവാണി,noun,0,14
L542597,അംബരസ്ഥലി,noun,0,14
L519736,അംബരീഷം,noun,0,14
L550360,അംബരൗകസ്സ്,noun,0,14
L554657,അംബഷ്ഠ,noun,0,14
L520898,അംബഷ്ഠാദിഗണം,noun,0,14
L556230,അംബഷ്ഠിക,noun,0,14
L460753,അംബാജി,proper noun,1,1
L531318,അംബാഡി,noun,0,14
L581821,അംബാനി,proper noun,0,8
L552183,അംബായ,noun,0,14
L454466,അംബാല,proper noun,1,1
L557131,അംബാലിക,noun,1,14
L522032,അംബാശൈലം,noun,0,14
L562681,അംബാസഡർ,noun,0,14
L556523,അംബിക,noun,1,14
L581911,അംബിക,proper noun,0,8
L534550,അംബികാപതി,noun,0,14
L455818,അംബിഗ്രാം,noun,1,1
L565292,അംബു,noun,0,8
L519339,അംബുകം,noun,0,14
L517737,അംബുകണം,noun,0,14
L512651,അംബുകണ്ടകം,noun,0,14
L519145,അംബുകിരാതം,noun,0,14
L523057,അംബുകീശം,noun,0,14
L512535,അംബുകുക്കുടം,noun,0,14
L556177,അംബുകുക്കുടിക,noun,0,14
L552265,അംബുക്രിയ,noun,0,14
L553785,അംബുഗ,noun,0,14
L522361,അംബുചത്വരം,noun,0,14
L551720,അംബുചര,noun,0,14
L502739,അംബുചാമരം,noun,0,18
L541856,അംബുചാരി,noun,0,14
L1126087,അംബുജ,adjective,0,0
L508317,അംബുജം,noun,0,14
L527159,അംബുജന്മാവ്,noun,0,16
L551272,അംബുജബന്ധു,noun,0,14
L539836,അംബുജയോനി,noun,0,14
L539321,അംബുജവനി,noun,0,14
L542317,അംബുജവൈരി,noun,0,14
L563291,അംബുജസംഭവ,noun,0,14
L543669,അംബുജാക്ഷി,noun,0,14
L539509,അംബുജിനി,noun,0,14
L554881,അംബുജേക്ഷണ,noun,0,14
L516336,അംബുതാലം,noun,0,14
L514200,അംബുധരം,noun,0,14
L528972,അംബുധി,noun,0,14
L530244,അംബുധികാഞ്ചി,noun,0,14
L563339,അംബുധിപ്രസവ,noun,0,14
L538893,അംബുനിധി,noun,0,14
L506583,അംബുപം,noun,0,14
L517484,അംബുപനസം,noun,0,14
L518295,അംബുപാതം,noun,0,14
L522473,അംബുഭവം,noun,0,14
L548612,അംബുഭൃത്ത്,noun,0,14
L546814,അംബുമുക്ക്,noun,0,14
L522636,അംബുയന്ത്രം,noun,0,14
L543464,അംബുരാശി,noun,0,14
L563540,അംബുരുഹ,noun,0,14
L520960,അംബുരൂഹം,noun,0,14
L543926,അംബുരോഹി,noun,0,14
L534175,അംബുരോഹിണി,noun,0,14
L557209,അംബുവല്ലിക,noun,0,14
L543836,അംബുവാസി,noun,0,14
L510692,അംബുവാഹം,noun,0,14
L543899,അംബുവാഹി,noun,0,14
L527494,അംബുശായി,noun,0,15
L516445,അംബുസരണം,noun,0,14
L512260,അംബുസാരം,noun,0,14
L556512,അംബുസൂർപ്പിക,noun,0,14
L534087,അംബുസർപ്പിണി,noun,0,14
L594757,അംബേദ്കർ,proper noun,2,1
L457130,അംബേദ്കർ നഗർ,proper noun,1,1
L454465,അംബ്രോ ലൗറി,proper noun,1,1
L455178,അംബ്ലർ,proper noun,1,1
L514523,അംഭണം,noun,0,14
L550479,അംഭസ്സ്,noun,0,14
L527088,അംഭാജജന്മാവ്,noun,0,16
L513123,അംഭാരവം,noun,0,14
L1126130,അംഭോജ,adjective,0,0
L551273,അംഭോജബന്ധു,noun,0,14
L539837,അംഭോജയോനി,noun,0,14
L542318,അംഭോജവൈരി,noun,0,14
L539512,അംഭോജിനി,noun,0,14
L518376,അംഭോദം,noun,0,14
L518981,അംഭോധരം,noun,0,14
L538995,അംഭോധി,noun,0,14
L564437,അംഭോധികന്യ,noun,0,16
L512307,അംഭോധിപല്ലവം,noun,0,14
L527502,അംഭോധിശായി,noun,0,15
L538897,അംഭോനിധി,noun,0,14
L543467,അംഭോരാശി,noun,0,14
L506461,അംഭോരുഹം,noun,0,14
L522468,അംഭോവാഹം,noun,0,14
L456940,അംരോഹാ,proper noun,1,1
L413348,അംശം,noun,0,15
L509380,അംശകം,noun,0,14
L520313,അംശകചക്രം,noun,0,14
L1126471,അംശജ,adjective,0,1
L513251,അംശദണ്ഡം,noun,0,14
L506145,അംശനം,noun,0,14
L502069,അംശബന്ധം,noun,1,14
L546622,അംശഭാക്ക്,noun,0,14
L530292,അംശഭാജി,noun,0,14
L546783,അംശഭുക്ക്,noun,0,14
L501969,അംശവടി,noun,1,16
L550548,അംശസ്സ്,noun,0,14
L542055,അംശഹാരി,noun,0,14
L507678,അംശാംശം,noun,0,14
L507382,അംശാവതാരം,noun,0,14
L543341,അംശി,noun,0,14
L539709,അംശിനി,noun,0,14
L526352,അംശിപ്പ്,noun,0,14
L564112,അംശു,noun,0,16
L507407,അംശുകം,noun,0,14
L515304,അംശുപട്ടം,noun,0,14
L548615,അംശുഭൃത്ത്,noun,0,14
L534717,അംശുമതി,noun,0,14
L520025,അംശുമത്ഫലം,noun,0,14
L558814,അംശുമാല,noun,0,14
L542801,അംശുമാലി,noun,0,14
L508775,അംശുമർദനം,noun,0,14
L1126507,അംശുല,adjective,0,1
L543900,അംശുവാഹി,noun,0,14
L542846,അംശുശാലി,noun,0,14
L526612,അംശുസ്വാമി,noun,0,14
L556227,അംസകണ്ഠിക,noun,0,14
L513758,അംസകുഹരം,noun,0,14
L514194,അംസകൂടം,noun,0,14
L515310,അംസചക്രം,noun,0,14
L509860,അംസതാപം,noun,0,14
L516048,അംസത്രം,noun,0,14
L514115,അംസദാഹം,noun,0,14
L513307,അംസപഥം,noun,0,14
L521248,അംസപ്രദേശം,noun,0,14
L505383,അംസഫലകം,noun,0,14
L509764,അംസഭരം,noun,0,14
L515470,അംസഭാരം,noun,0,14
L541962,അംസഭാരി,noun,0,14
L563119,അംസഭൂഷ,noun,0,14
L513232,അംസമധ്യം,noun,0,14
L511617,അംസശോഷം,noun,0,14
L542598,അംസസ്ഥലി,noun,0,14
L534884,അംഹതി,noun,0,14
L550255,അംഹസ്,noun,0,14
L534665,അംഹസ്പതി,noun,0,14
L550575,അംഹസ്സ്,noun,0,14
L457858,അംഹാറിക്ക്,noun,1,1
L535142,അംഹിതി,noun,0,14
L564251,അംഹു,noun,0,16
L542521,അംഹ്രി,noun,0,14
L510121,അംഹ്രിപം,noun,0,14
L514308,അംഹ്രിസ്കന്ധം,noun,0,14
L582459,അഃ,letter,1,1
L453260,അഃ,noun,1,1
L554773,അഋണ,noun,0,14
L1110806,അഋണി,noun,1,2
L555842,അക,noun,0,14
L1404,അകം,noun,1,19
L510420,അകം_പുറം,noun,0,14
L517575,അകകുലം,noun,0,14
L559532,അകക്കടൽ,noun,0,14
L547767,അകക്കണ്ണ്,noun,1,14
L563763,അകക്കരൾ,noun,0,14
L545552,അകക്കഴി,noun,0,14
L548926,അകക്കാമ്പ്,noun,0,14
L548780,അകക്കുരുന്ന്,noun,0,14
L548487,അകക്കൂത്ത്,noun,0,14
L554577,അകക്കോട്ട,noun,0,14
L552779,അകക്കോയ്മ,noun,0,14
L547788,അകങ്കണ്ണ്,noun,0,14
L1129328,അകങ്കാലൻ,noun,1,16
L560321,അകങ്കാൽ,noun,0,14
L551183,അകങ്കൈ,noun,0,14
L552782,അകങ്കോയ്മ,noun,0,14
L1110808,അകച,adjective,1,1
L1129330,അകചൻ,noun,1,9
L1117947,അകഞ്ചുകിത,adjective,1,1
L508081,അകടവികടം,noun,0,14
L1117949,അകടു,adjective,1,1
L565603,അകടുവികടു,noun,0,8
L413850,അകഠിന,adjective,1,1
L1129331,അകഡമം,noun,1,16
L1117950,അകണ്ടക,adjective,2,1
L1129332,അകണ്ടകത്വം,noun,1,16
L547653,അകതണ്ട്,noun,0,14
L534203,അകതരുണി,noun,0,14
L551860,അകതാര,noun,0,14
L541887,അകതാരി,noun,0,14
L534348,അകതി,noun,0,14
L460457,അകതിയൂർ,proper noun,1,1
L510375,അകത്തകം,noun,0,14
L547655,അകത്തണ്ട്,noun,0,14
L508182,അകത്തളം,noun,0,14
L550041,അകത്തഴിവ്,noun,0,14
L1129333,അകത്തവർ,noun,1,7
L1110809,അകത്താൻ,noun,1,1
L527836,അകത്താൾ,noun,0,16
L456007,അകത്തി,noun,1,19
L551977,അകത്തിക്കീര,noun,0,14
L551983,അകത്തിച്ചീര,noun,0,14
L530143,അകത്തിറച്ചി,noun,0,14
L462035,അകത്തുക,verb,0,4
L527869,അകത്തുള്ളാൾ,noun,0,16
L460885,അകത്തേത്തറ,proper noun,1,1
L550854,അകത്തേപ്പാറ്,noun,0,14
L1129361,അകത്തേപ്പുറം,noun,1,16
L538409,അകത്തേപ്രവൃത്തി,noun,0,14
L515209,അകത്തേവാരം,noun,0,14
L563242,അകത്തോൾ,noun,0,14
L527705,അകത്ത്,adverb,1,0
L518277,അകഥം,noun,0,14
L1117951,അകഥക,adjective,1,1
L1129362,അകഥനീയം,noun,1,16
L1129363,അകഥിതം,noun,1,16
L520517,അകദനം,noun,0,14
L550925,അകനാനൂറ്,noun,1,14
L527778,അകനാൾ,noun,0,16
L1140812,അകനിന്ദ,noun,1,1
L512332,അകന്ഥനം,noun,0,14
L564423,അകന്യ,noun,0,16
L512837,അകപടം,noun,0,14
L553066,അകപ്പ,noun,0,14
L555909,അകപ്പക,noun,0,14
L547365,അകപ്പാട്,noun,0,14
L550853,അകപ്പാറ്,noun,0,14
L527720,അകപ്പുതുവാൾ,noun,0,16
L1129364,അകബരൻ,noun,1,8
L1125655,അകമന,adjective,0,1
L552804,അകമന,noun,0,14
L524790,അകമല,noun,1,14
L512515,അകമലം,noun,0,14
L541613,അകമലരി,noun,0,14
L550016,അകമലിവ്,noun,0,14
L526915,അകമിതാവ്,noun,0,16
L542429,അകമിത്രി,noun,0,14
L517439,അകമിയം,noun,0,14
L527704,അകമേ,adverb,1,1
L528629,അകമ്പടി,noun,0,14
L503190,അകമ്പടിക്കാരി,noun,1,7
L502897,അകമ്പടിക്കാരൻ,noun,0,18
L1125656,അകമ്പന,adjective,0,1
L1129373,അകമ്പുറം,noun,1,16
L462193,അകമ്പൂകുക,verb,0,4
L551656,അകര,noun,0,14
L1129375,അകരുണം,noun,1,16
L1125659,അകല,adjective,0,1
L460886,അകലക്കുന്നം,proper noun,1,1
L1125660,അകലിത,adjective,0,1
L588110,അകലുക,verb,2,4
L588605,അകലെ,adverb,2,1
L1129378,അകല്മാഷൻ,noun,1,16
L1125662,അകല്യ,adjective,0,1
L1125663,അകല്യാണ,adjective,0,1
L1125664,അകല്ലോല,adjective,0,1
L1125668,അകളങ്ക,adjective,0,1
L1125665,അകവ,adjective,0,1
L1125666,അകശ്മല,adjective,0,1
L1125667,അകഷായ,adjective,0,1
L564608,അകാ,noun,0,16
L1125669,അകാണ്ഡ,adjective,0,1
L1125670,അകാതര,adjective,0,1
L1125671,അകാന്ത,adjective,0,1
L1125672,അകാമ,adjective,0,1
L1125673,അകാമദ,adjective,0,1
L1125678,അകാമഹത,adjective,0,1
L1125679,അകാമ്യ,adjective,0,1
L549131,അകായ്,noun,0,14
L1125680,അകാരണ,adjective,0,1
L502463,അകാരണഭീതി,noun,1,1
L527352,അകാരാദി,noun,1,14
L530100,അകാരാദിസൂചി,noun,0,14
L1125681,അകാരുണിക,adjective,0,1
L1125682,അകാല,adjective,0,1
L502346,അകാലജനനം,noun,1,1
L1125683,അകാലിക,adjective,0,1
L1125684,അകാല്യ,adjective,0,1
L1125685,അകാഷായ,adjective,0,1
L457683,അകാൻ ഭാഷ,noun,1,1
L1141173,അകാർബണിക,adjective,1,1
L1125686,അകിഞ്ചന,adjective,0,1
L502554,അകിടുവീക്കം,noun,1,1
L692156,അകിട്,noun,1,1
L456412,അകിത ഇനു,noun,1,1
L581343,അകിര,proper noun,0,8
L560422,അകിൽ,noun,0,14
L1125687,അകീലിത,adjective,0,1
L1129929,അകുംഭിലൻ,noun,1,16
L1125688,അകുഞ്ചിത,adjective,0,1
L1125689,അകുടില,adjective,0,1
L1129380,അകുടീരം,noun,1,1
L541333,അകുടുംബി,noun,0,14
L1125690,അകുണ്ടക,adjective,0,1
L1125691,അകുണ്ഠ,adjective,0,1
L521952,അകുണ്ഠധിഷ്ണ്യം,noun,0,14
L1125692,അകുണ്ഠിത,adjective,0,1
L1129381,അകുതശ്ചലൻ,noun,1,16
L535249,അകുതി,noun,0,14
L514946,അകുതുകം,noun,0,14
L514068,അകുതൂഹലം,noun,0,14
L1129926,അകുതോഭയൻ,noun,1,8
L524724,അകുത്സ,noun,0,14
L511719,അകുത്സം,noun,0,14
L512322,അകുത്സനം,noun,0,14
L1125693,അകുത്സിത,adjective,0,1
L516427,അകുപാരം,noun,0,14
L1129927,അകുപാരൻ,noun,1,16
L1125694,അകുപിത,adjective,0,1
L553100,അകുപ്പ,noun,0,14
L1129928,അകുപ്യകം,noun,1,16
L1125695,അകുബ്ജ,adjective,0,1
L1125696,അകുല,adjective,0,1
L559086,അകുല,noun,0,14
L520628,അകുലകം,noun,0,14
L554317,അകുലട,noun,0,14
L555335,അകുലത,noun,0,14
L1125697,അകുലിക,adjective,0,1
L1125715,അകുലീന,adjective,0,1
L1129930,അകുലൻ,noun,1,16
L1125716,അകുശല,adjective,0,1
L506817,അകുശലം,noun,0,14
L553673,അകുശലവേദന,noun,0,14
L1125746,അകുസുമിത,adjective,0,1
L552882,അകുഹന,noun,0,14
L458449,അകൂരി,noun,1,1
L1125747,അകൂർച്ച,adjective,0,1
L513641,അകൃ`ന്തനം,noun,0,14
L506514,അകൃച്ഛ്രം,noun,0,14
L1125749,അകൃത,adjective,0,1
L528313,അകൃത,noun,0,14
L519936,അകൃതം,noun,0,14
L1125750,അകൃതക,adjective,0,1
L1125751,അകൃതകൃത്യ,adjective,0,1
L519029,അകൃതക്ഷേത്രം,noun,0,14
L527086,അകൃതകർമാവ്,noun,0,16
L1125752,അകൃതഘ്ന,adjective,0,1
L563043,അകൃതചികീർഷ,noun,0,14
L1125753,അകൃതനിശ്ചയ,adjective,0,1
L1125754,അകൃതമുഖ,adjective,0,1
L1125755,അകൃതലക്ഷണ,adjective,0,1
L1125756,അകൃതവിദ്യ,adjective,0,1
L1125757,അകൃതവേതന,adjective,0,1
L1125758,അകൃതവേഷ,adjective,0,1
L1125759,അകൃതശോഭ,adjective,0,1
L1125760,അകൃതസങ്കൽപ,adjective,0,1
L527021,അകൃതാത്മാവ്,noun,0,16
L513720,അകൃതാഭാഗ്യമം,noun,0,14
L535535,അകൃതി,noun,1,14
L1125761,അകൃതോദ്വാഹ,adjective,0,1
L538683,അകൃതോപാസ്തി,noun,0,14
L1125762,അകൃത്ത,adjective,0,1
L507233,അകൃത്യം,noun,0,14
L541757,അകൃത്യകാരി,noun,0,14
L515653,അകൃത്യയാഗം,noun,0,14
L558981,അകൃമില,noun,0,14
L1125763,അകൃശ,adjective,0,1
L1125764,അകൃഷ്ട,adjective,0,1
L1125765,അകൃഷ്ടപച്യ,adjective,0,1
L555516,അകൃഷ്ടഫലിത,noun,0,14
L531208,അകൃഷ്ടി,noun,0,14
L1125766,അകൃഷ്ണ,adjective,0,1
L1129932,അകൃഷ്ണം,noun,1,16
L527085,അകൃഷ്ണകർമാവ്,noun,0,16
L1129931,അകൃഷ്ണൻ,noun,1,16
L1125782,അകേകര,adjective,0,0
L1125783,അകേശ,adjective,1,0
L1125784,അകേശിക,adjective,0,0
L513895,അകോടം,noun,0,14
L453986,അകോല,proper noun,1,1
L502555,അകോൺട്രോപ്ലാസിയ,noun,1,1
L1156914,അക്ക,noun,2,1
L413660,അക്കം,noun,1,15
L525676,അക്കക്കെട്ട്,noun,0,14
L530112,അക്കച്ചി,noun,0,14
L565180,അക്കണ്ഡൂ,noun,0,8
L516494,അക്കനം,noun,0,14
L510688,അക്കപ്പടം,noun,0,14
L556196,അക്കപ്പട്ടിക,noun,0,14
L463653,അക്കപ്പെല്ല,noun,1,1
L549331,അക്കപ്പോര്,noun,0,14
L517749,അക്കപ്രശ്നം,noun,0,14
L551672,അക്കര,noun,0,14
L510954,അക്കരം,noun,0,14
L615187,അക്കരെ നിന്നാൽ ഇക്കരെ പച്ച,proverb,1,1
L546179,അക്കരെക്കൊറ്റി,noun,0,14
L457674,അക്കാദമി,noun,1,16
L457722,അക്കാദിയൻ ഭാഷ,noun,1,1
L454308,അക്കാദ്,proper noun,1,1
L1133228,അക്കാനി,noun,0,0
L529007,അക്കാനി,noun,0,14
L1129934,അക്കാനിമാടൻ,noun,1,1
L454114,അക്കാപുൽകോ,proper noun,1,1
L1129428,അക്കാമ്മ,proper noun,0,8
L519020,അക്കാരം,noun,0,14
L1129935,അക്കാരക്കരപ്പൻ,noun,1,16
L554423,അക്കാരപ്പൂട,noun,0,14
L548141,അക്കാലത്ത്,noun,0,14
L527865,അക്കാൾ,noun,0,16
L529782,അക്കി,noun,1,14
L530666,അക്കിടി,noun,0,14
L1129937,അക്കിത്തം,noun,1,16
L542154,അക്കിത്തിരി,noun,0,14
L1129936,അക്കിത്തൻ,noun,1,16
L1129939,അക്കിത്രാണം,noun,1,16
L548472,അക്കിയെഴുത്ത്,noun,0,14
L1129942,അക്കിരം,noun,1,0
L1129941,അക്കിരപ്പൊൻ,noun,1,16
L553857,അക്കിളാരിത്തേങ്ങ,noun,0,14
L509952,അക്കുളം,noun,0,14
L551098,അക്കൂറ്റ്,noun,0,14
L502495,അക്കൊമഡേറ്റീവ് ഇൻഫെസിലിറ്റി,noun,1,1
L502494,അക്കൊമൊഡേറ്റീവ് ഇൻസഫിഷ്യൻസി,noun,1,1
L1129950,അക്കോലം,noun,1,0
L546293,അക്ക്,noun,0,14
L1130374,അക്ക്‌ത്രം,noun,1,0
L307576,അക്കൗണ്ടന്റ്,noun,1,1
L455912,അക്കൗണ്ടന്റ് ജനറൽ,noun,1,1
L455787,അക്കൗണ്ടൻസി,noun,1,1
L1129933,അക്കൻ,noun,1,16
L561735,അക്കൽ,noun,0,14
L552480,അക്കൽദാമ,noun,1,14
L1125787,അക്ത,adjective,0,0
L458799,അക്ബർ,proper noun,1,1
L453893,അക്യാബ്,proper noun,1,1
L456437,അക്യു അഡ്വാൻടേജ് സാൽമൺ,noun,1,1
L453493,അക്ര,proper noun,1,1
L520993,അക്രം,noun,0,14
L565723,അക്രതു,noun,0,8
