lang,start_date,end_date,rank,category_qid,category_en,edits,top_article_en
bn,2026-07-01,2026-08-29,13,1984000,Islam,1048,কুরআনে_উল্লেখিত_ব্যক্তিদের_নামের_তালিকা
bn,2026-07-01,2026-08-29,14,8297418,Bengali_people,1044,Sombhu_Mitra
bn,2026-07-01,2026-08-29,15,6301437,21st-century_politicians,1016,List_of_current_heads_of_state_and_government
bn,2026-07-01,2026-08-29,16,6156696,Dead_people,984,Udham_Singh
bn,2026-07-01,2026-08-29,17,2944929,Culture,978,Sweets_from_the_Indian_subcontinent
bn,2026-07-01,2026-08-29,18,1457673,Geography,953,List_of_current_heads_of_state_and_government
bn,2026-07-01,2026-08-29,19,3919792,Actors,948,Arjun_Chakrabarty
bn,2026-07-01,2026-08-29,20,5753390,Politicians,945,Kayser_Kamal
bn,2026-07-01,2026-08-29,21,61382651,অসম্পূর্ণ_বাংলাদেশের_ইউনিয়ন_নিবন্ধ,906,শশীদল_ইউনিয়ন
bn,2026-07-01,2026-08-29,22,1457402,Biology,887,Biofuel
bn,2026-07-01,2026-08-29,23,105499440,20th-century_Bengali_people,879,Mirza_Nurul_Huda
bn,2026-07-01,2026-08-29,24,1458083,Science,869,Biofuel
bn,2026-07-01,2026-08-29,25,6456601,Bangladeshi_people,855,Hafiz_Uddin_Ahmad
bpy,2026-07-01,2026-08-29,1,1457595,History,11,Mahasthangarh
bpy,2026-07-01,2026-08-29,2,1455458,Bangladesh,9,Mahasthangarh
bpy,2026-07-01,2026-08-29,3,1458083,Science,5,Encyclopedia
bpy,2026-07-01,2026-08-29,4,6582583,Subdivisions_of_Bangladesh,5,Nangalkot_Upazila
bpy,2026-07-01,2026-08-29,5,9721248,চট্টগ্রাম_বিভাগর_শহরগি,5,Nangalkot_Upazila
bpy,2026-07-01,2026-08-29,6,2944929,Culture,4,Encyclopedia
bpy,2026-07-01,2026-08-29,7,6326402,Upazilas,4,Nangalkot_Upazila
bpy,2026-07-01,2026-08-29,8,6973672,Universities_and_colleges_in_Bangladesh,4,Dhaka_Central_University
bpy,2026-07-01,2026-08-29,9,7026748,Phitsanulok_province,4,Phitsanulok_province
bpy,2026-07-01,2026-08-29,10,7028288,Provinces_of_Thailand,4,Phitsanulok_province
bpy,2026-07-01,2026-08-29,11,7216761,Uttaradit_province,4,Phichai_district
bpy,2026-07-01,2026-08-29,12,8866836,Unions_of_Bangladesh,4,"আন্ধারমাণিক_ইউনিয়ন,_মেহেন্দিগঞ্জ"
bpy,2026-07-01,2026-08-29,13,8888064,Upazilas_of_Comilla_District,4,Nangalkot_Upazila
bpy,2026-07-01,2026-08-29,14,4619,Mathematics,3,Srinivasa_Ramanujan
bpy,2026-07-01,2026-08-29,15,1457673,Geography,3,Country
bpy,2026-07-01,2026-08-29,16,1983910,Hinduism,3,History_of_India
bpy,2026-07-01,2026-08-29,17,4026570,Countries,3,Country
bpy,2026-07-01,2026-08-29,18,30225855,Nangalkot_Upazila,3,Nangalkot_Upazila
bpy,2026-07-01,2026-08-29,19,1411417,India,2,Srinivasa_Ramanujan
bpy,2026-07-01,2026-08-29,20,1457903,Religion,2,Big_Bang
bpy,2026-07-01,2026-08-29,21,5610083,Asia,2,Country
bpy,2026-07-01,2026-08-29,22,5640343,Biography_(genre),2,Michelangelo
bpy,2026-07-01,2026-08-29,23,6581988,Municipalities_in_São_Paulo_(state),2,"Palestina,_São_Paulo"
bpy,2026-07-01,2026-08-29,24,6642550,Sociology,2,Encyclopedia
bpy,2026-07-01,2026-08-29,25,7043111,Scientists,2,Srinivasa_Ramanujan
dty,2026-07-01,2026-08-29,1,1411417,India,29,Assam
dty,2026-07-01,2026-08-29,2,1457673,Geography,20,Assam
dty,2026-07-01,2026-08-29,3,1983910,Hinduism,11,Assam
dty,2026-07-01,2026-08-29,4,9842224,Deelstate_van_Indië,7,Assam
dty,2026-07-01,2026-08-29,5,1457402,Biology,6,Rice
dty,2026-07-01,2026-08-29,6,1457982,Sports,6,Seth_Rollins
dty,2026-07-01,2026-08-29,7,15271861,Male_actors_in_Hindi_cinema,6,C._Joseph_Vijay
dty,2026-07-01,2026-08-29,8,33094319,नेपालमी_पाइन्या_चणा,6,Greater_spotted_eagle
dty,2026-07-01,2026-08-29,9,1457109,Plants,5,Rice
dty,2026-07-01,2026-08-29,10,1457595,History,5,Thomas_Jefferson
dty,2026-07-01,2026-08-29,11,2944929,Culture,5,Rice
dty,2026-07-01,2026-08-29,12,4103183,Politics,5,Thomas_Jefferson
dty,2026-07-01,2026-08-29,13,4587662,Europe,5,Azerbaijan
dty,2026-07-01,2026-08-29,14,7031185,Nepalese_people,5,Kulbir_Thapa_Magar
dty,2026-07-01,2026-08-29,15,9819646,रङ्गकर्मी,5,Jharana_Thapa
dty,2026-07-01,2026-08-29,16,7029083,Nepalese_politicians,4,Tanka_Prasad_Acharya
dty,2026-07-01,2026-08-29,17,8672096,Nepalese_women,4,Jharana_Thapa
dty,2026-07-01,2026-08-29,18,33094258,भारतीय_चलचित्र_अभिनेताअन,4,C._Joseph_Vijay
dty,2026-07-01,2026-08-29,19,33094273,तमिल_चलचित्र_अभिनेताअन,4,C._Joseph_Vijay
dty,2026-07-01,2026-08-29,20,4274,History_of_Nepal,3,Sher_Bahadur_Deuba
dty,2026-07-01,2026-08-29,21,1457903,Religion,3,The_Buddha
dty,2026-07-01,2026-08-29,22,1983832,Buddhism,3,The_Buddha
dty,2026-07-01,2026-08-29,23,4049595,Internet,3,Tim_Berners-Lee
dty,2026-07-01,2026-08-29,24,6493807,Cricket,3,Sunil_Gavaskar
dty,2026-07-01,2026-08-29,25,7157802,Animals,3,Common_pochard
dv,2026-07-01,2026-08-29,1,5640343,Biography_(genre),16,Mohamed_Latheef_(ambassador)
dv,2026-07-01,2026-08-29,2,9714871,ޕީއެޗްޑީ_ހަދާފައިވާ_ދިވެހިން,15,Mohamed_Latheef_(ambassador)
dv,2026-07-01,2026-08-29,3,1457673,Geography,11,Pakistan
dv,2026-07-01,2026-08-29,4,7289356,Islands_of_the_Maldives,11,Shaviyani_Atoll
dv,2026-07-01,2026-08-29,5,4026570,Countries,8,Pakistan
dv,2026-07-01,2026-08-29,6,7161817,Former_British_colonies,3,Pakistan
dv,2026-07-01,2026-08-29,7,1455849,Pakistan,2,Pakistan
dv,2026-07-01,2026-08-29,8,8275076,Atolls_of_the_Maldives,2,Shaviyani_Atoll
dv,2026-07-01,2026-08-29,9,8618240,Member_states_of_the_South_Asian_Association_for_Regional_Cooperation,2,Pakistan
dv,2026-07-01,2026-08-29,10,8776939,South_Asian_Association_for_Regional_Cooperation,2,Pakistan
dv,2026-07-01,2026-08-29,11,9698921,Commonwealth_of_Nations,2,Pakistan
dv,2026-07-01,2026-08-29,12,9699566,Encyclopedia_Project,2,Pakistan
dv,2026-07-01,2026-08-29,13,9703895,Members_of_the_Commonwealth_of_Nations,2,Pakistan
dv,2026-07-01,2026-08-29,14,9710104,ބަލިތައް,2,Pressure_ulcer
dv,2026-07-01,2026-08-29,15,1411284,Japan,1,China
dv,2026-07-01,2026-08-29,16,1458484,Language,1,Encyclopedia
dv,2026-07-01,2026-08-29,17,4655215,Wikipedians_by_language,1,Norway
dv,2026-07-01,2026-08-29,18,4960490,Languages,1,Encyclopedia
dv,2026-07-01,2026-08-29,19,7132780,Fish,1,Shark
dv,2026-07-01,2026-08-29,20,9701265,Indian_Ocean_atolls,1,Shaviyani_Atoll
dv,2026-07-01,2026-08-29,21,9703284,ޖޫން,1,June_30
dv,2026-07-01,2026-08-29,22,9703446,Landlocked_countries,1,Serbia
dv,2026-07-01,2026-08-29,23,9710702,ކާނާގެ_ބައިތަކާއި_ވައްތަރުތައް,1,Sodium
dv,2026-07-01,2026-08-29,24,9711758,އިންސާނާގެ_ހަށިގަނޑު,1,Beard
dv,2026-07-01,2026-08-29,25,9713759,ދިވެހިރާއްޖޭގެ_ސްކޫލުތައް,1,ބ.އަތޮޅު_ތަޢުލީމީ_މަރުކަޒު
gom,2026-07-01,2026-08-29,1,33086357,Konknni,6,Canacona
gom,2026-07-01,2026-08-29,2,33086257,"Goemchim_Xharam,_Ganv_ani_Zage",4,Canacona
gom,2026-07-01,2026-08-29,3,33086325,Sonvsarachim_Raxttram,3,Bharot
gom,2026-07-01,2026-08-29,4,8518162,History_of_Goa,2,Vasco_da_Gama
gom,2026-07-01,2026-08-29,5,33086272,"Prosidh,_Famadh_Monxeam",2,Sonia_Shirsat
gom,2026-07-01,2026-08-29,6,33086283,इंग्लंड_च्या_फुटबॉल_क्लब,2,Aston_Villa_F.C.
gom,2026-07-01,2026-08-29,7,33086299,Inglandche_futbol_club,2,Aston_Villa_Football_Club
gom,2026-07-01,2026-08-29,8,33086330,धाक्टें_पान,2,Aston_Villa_F.C.
gom,2026-07-01,2026-08-29,9,33086380,आशीयांतले_देस,2,India
gom,2026-07-01,2026-08-29,10,33086382,Boreantlim_borim_panam,2,Konkani_language
gom,2026-07-01,2026-08-29,11,5964,Авикипедиа:Акандидат_ирласу_аныхразы,1,India
gom,2026-07-01,2026-08-29,12,33086267,Konkani,1,Konknni_bhas
gom,2026-07-01,2026-08-29,13,33086278,"गोयेचीं_शहारां,_गांव_आनी_जागे",1,Sanvordem
gom,2026-07-01,2026-08-29,14,33086326,संवसाराचीं_राष्ट्रां,1,China
gom,2026-07-01,2026-08-29,15,33086338,गोंयचीं_शारां_आनी_जागे,1,Tivim
gom,2026-07-01,2026-08-29,16,33086339,गोंय़,1,Sanvordem
gom,2026-07-01,2026-08-29,17,33086343,दक्षिण_गोंय,1,Sanvordem
gom,2026-07-01,2026-08-29,18,33086347,बारदेस_तालुका,1,Tivim
gom,2026-07-01,2026-08-29,19,33086372,भास,1,Konkani_language
gom,2026-07-01,2026-08-29,20,33086373,Bhas,1,Konknni_bhas
gom,2026-07-01,2026-08-29,21,33086377,ओशनियांतले_देस,1,Samoa
gom,2026-07-01,2026-08-29,22,33086389,Sonvsaracho_Prosidh_vo_Famadh_Lok,1,Lionel_Messi
gu,2026-07-01,2026-08-29,1,1411417,India,316,Alappuzha_district
gu,2026-07-01,2026-08-29,2,8898916,Villages_in_Gujarat,147,કણધા
gu,2026-07-01,2026-08-29,3,8383492,Districts_of_India,134,Alappuzha_district
gu,2026-07-01,2026-08-29,4,6262773,Kerala,127,Alappuzha_district
gu,2026-07-01,2026-08-29,5,1458083,Science,111,Alan_Turing
gu,2026-07-01,2026-08-29,6,8383587,Districts_of_Kerala,110,Alappuzha_district
gu,2026-07-01,2026-08-29,7,6994462,Indian_people,99,Narendra_Modi
gu,2026-07-01,2026-08-29,8,1457402,Biology,95,પંખીજગત_(પુસ્તક)
gu,2026-07-01,2026-08-29,9,1983910,Hinduism,95,Rashtriya_Swayamsevak_Sangh
gu,2026-07-01,2026-08-29,10,9056291,Cities_and_towns_in_Gujarat,89,Bhuj
gu,2026-07-01,2026-08-29,11,1457673,Geography,81,Romania
gu,2026-07-01,2026-08-29,12,27429949,ગુજરાતનાં_તાલુકા_મથકો,77,Bhuj
gu,2026-07-01,2026-08-29,13,1457595,History,69,Albert_Einstein
gu,2026-07-01,2026-08-29,14,7146011,Gujarat,68,Narendra_Modi
gu,2026-07-01,2026-08-29,15,8502407,Gujarati_people,67,Narendra_Modi
gu,2026-07-01,2026-08-29,16,5610882,«نوع»_میکروفورماتلاری_اولان_مقاله‌لر,66,Common_blackbird
gu,2026-07-01,2026-08-29,17,2944929,Culture,64,Gujarati_language
gu,2026-07-01,2026-08-29,18,1410960,United_States,60,Albert_Einstein
gu,2026-07-01,2026-08-29,19,4630,History_of_India,57,Bharuch
gu,2026-07-01,2026-08-29,20,4095812,Medicine,51,Tuberculosis
gu,2026-07-01,2026-08-29,21,4884546,Technology,49,Alan_Turing
gu,2026-07-01,2026-08-29,22,1457903,Religion,48,Narendra_Modi
gu,2026-07-01,2026-08-29,23,1411125,United_Kingdom,45,Alan_Turing
gu,2026-07-01,2026-08-29,24,1457258,Physics,44,Albert_Einstein
gu,2026-07-01,2026-08-29,25,7291943,Culture_of_India,43,Adivasi
hi,2026-07-01,2026-08-29,1,1411417,India,1140,Foreign_relations_of_India
hi,2026-07-01,2026-08-29,2,4630,History_of_India,660,Bahmani_Kingdom
hi,2026-07-01,2026-08-29,3,6994462,Indian_people,497,Ram_Manohar_Lohia
hi,2026-07-01,2026-08-29,4,1983910,Hinduism,477,Hindi
hi,2026-07-01,2026-08-29,5,5668044,Indian_films,462,Ramayana:_Part_1
hi,2026-07-01,2026-08-29,6,1457595,History,442,Bahmani_Kingdom
hi,2026-07-01,2026-08-29,7,9848152,Hindi-language_films,403,Ramayana:_Part_1
hi,2026-07-01,2026-08-29,8,1457673,Geography,374,Florida
hi,2026-07-01,2026-08-29,9,5897849,Wikipedia:Beleg_fehlet,366,Ted_Kaczynski
hi,2026-07-01,2026-08-29,10,2944929,Culture,349,Hindi
hi,2026-07-01,2026-08-29,11,7006468,Indian_monarchs,320,Shamsuddin_Ilyas_Shah
hi,2026-07-01,2026-08-29,12,1410960,United_States,312,Ted_Kaczynski
hi,2026-07-01,2026-08-29,13,1458083,Science,296,Solar_eclipse
hi,2026-07-01,2026-08-29,14,7030483,Indian_politicians,292,Dharmendra_Pradhan
hi,2026-07-01,2026-08-29,15,4095812,Medicine,279,Suicide
hi,2026-07-01,2026-08-29,16,6374282,Delhi_Metro,257,Lajpat_Nagar_metro_station
hi,2026-07-01,2026-08-29,17,7214658,Cities_and_towns_in_India,255,Mahendragarh
hi,2026-07-01,2026-08-29,18,3919830,British_people,241,Warren_Hastings
hi,2026-07-01,2026-08-29,19,7045030,Miss_Universe,228,Miss_Universe_2019
hi,2026-07-01,2026-08-29,20,10091029,सुन्दरता_प्रतियोगिता,228,Miss_Universe_2019
hi,2026-07-01,2026-08-29,21,8496836,Governors-general_of_India,225,"William_Amherst,_1st_Earl_Amherst"
hi,2026-07-01,2026-08-29,22,9805153,अंतर्राष्ट्रीय_सुन्दरता_प्रतियोगिता,225,Miss_Universe_2019
hi,2026-07-01,2026-08-29,23,8313144,British_India,219,Warren_Hastings
hi,2026-07-01,2026-08-29,24,1457402,Biology,217,Cancer
hi,2026-07-01,2026-08-29,25,8545259,Indian_independence_movement,216,Warren_Hastings
kn,2026-07-01,2026-08-29,1,9727294,ಕಡತ_ಕೊಂಡಿಗಳು_ಮುರಿದಿರುವ_ಪುಟಗಳು,579,Jeppu
kn,2026-07-01,2026-08-29,2,1411417,India,462,Mohanlal
kn,2026-07-01,2026-08-29,3,1458083,Science,398,Time_zone
kn,2026-07-01,2026-08-29,4,1457402,Biology,373,Agriculture
kn,2026-07-01,2026-08-29,5,33044957,ಮೈಸೂರು_ವಿಶ್ವವಿದ್ಯಾನಿಲಯ_ವಿಶ್ವಕೋಶ,364,Scattering
kn,2026-07-01,2026-08-29,6,7192108,Pages_with_script_errors,280,Agastya_Mala
kn,2026-07-01,2026-08-29,7,1457673,Geography,262,Kerala
kn,2026-07-01,2026-08-29,8,1410960,United_States,256,Pittsburgh
kn,2026-07-01,2026-08-29,9,7486603,Health,220,Herbal_medicine
kn,2026-07-01,2026-08-29,10,1983910,Hinduism,198,Kerala
kn,2026-07-01,2026-08-29,11,1457595,History,197,Kanthirava_Narasaraja_I
kn,2026-07-01,2026-08-29,12,1457258,Physics,193,Time_zone
kn,2026-07-01,2026-08-29,13,1457474,Chemistry,188,Ozone
kn,2026-07-01,2026-08-29,14,2944929,Culture,183,Onam
kn,2026-07-01,2026-08-29,15,7477590,Статии_с_невалиден_параметър_за_дата_в_шаблона,176,Telecommunications
kn,2026-07-01,2026-08-29,16,6262773,Kerala,174,Periyar_National_Park
kn,2026-07-01,2026-08-29,17,9721953,ಉಲ್ಲೇಖಗಳ_ಅಗತ್ಯ_ಇರುವ_ಲೇಖನಗಳು,164,GameSpot
kn,2026-07-01,2026-08-29,18,4884546,Technology,140,Agriculture
kn,2026-07-01,2026-08-29,19,7043111,Scientists,126,Charles_Babbage
kn,2026-07-01,2026-08-29,20,1983760,Psychology,125,Simulation
kn,2026-07-01,2026-08-29,21,1457109,Plants,122,ಉಡುಪಿ_ಮಲ್ಲಿಗೆ
kn,2026-07-01,2026-08-29,22,1457756,Society,111,Agriculture
kn,2026-07-01,2026-08-29,23,4630,History_of_India,109,Brahmi_script
kn,2026-07-01,2026-08-29,24,4103183,Politics,99,Ku_Klux_Klan
kn,2026-07-01,2026-08-29,25,7779711,Physiology,99,Migraine
ks,2026-07-01,2026-08-29,1,1411417,India,372,Chandrayaan-3
ks,2026-07-01,2026-08-29,2,6994462,Indian_people,295,Mary_Kom
ks,2026-07-01,2026-08-29,3,8571195,Kashmiri_people,157,Mahmud_Gami
ks,2026-07-01,2026-08-29,4,7145024,Indian_Muslims,94,Sania_Mirza
ks,2026-07-01,2026-08-29,5,6998861,Kashmir,92,Srinagar_Airport
ks,2026-07-01,2026-08-29,6,7030483,Indian_politicians,77,Mary_Kom
ks,2026-07-01,2026-08-29,7,1984000,Islam,73,"Jamia_Masjid,_Srinagar"
ks,2026-07-01,2026-08-29,8,1458269,Film,65,Aamir_Khan
ks,2026-07-01,2026-08-29,9,30794542,Kashmiri_Muslims,65,Mahmud_Gami
ks,2026-07-01,2026-08-29,10,1457903,Religion,62,True_Jesus_Church
ks,2026-07-01,2026-08-29,11,7029947,Pakistani_people,54,Ali_Zafar
ks,2026-07-01,2026-08-29,12,1456095,South_Korea,52,Three_Kingdoms_of_Korea
ks,2026-07-01,2026-08-29,13,8808842,Srinagar,50,"Jamia_Masjid,_Srinagar"
ks,2026-07-01,2026-08-29,14,8571180,Kashmiri_Pandits,47,Arnimal
ks,2026-07-01,2026-08-29,15,7157802,Animals,46,Yak
ks,2026-07-01,2026-08-29,16,8571193,Kashmiri_poets,45,Mahmud_Gami
ks,2026-07-01,2026-08-29,17,8808844,Srinagar_district,42,Srinagar_Airport
ks,2026-07-01,2026-08-29,18,47499567,20th-century_Indian_women_singers,36,Ajita_Srivastava
ks,2026-07-01,2026-08-29,19,18617084,21st-century_Indian_singers,35,Raj_Begum
ks,2026-07-01,2026-08-29,20,6834346,Indian_writers,34,Jawaharlal_Nehru
ks,2026-07-01,2026-08-29,21,8571196,Kashmiri_writers,34,Sarwanand_Koul_Premi
ks,2026-07-01,2026-08-29,22,6517860,Computer_science,33,ChatGPT
ks,2026-07-01,2026-08-29,23,25183976,Indian_women_folk_singers,32,Ajita_Srivastava
ks,2026-07-01,2026-08-29,24,4026570,Countries,31,Earth
ks,2026-07-01,2026-08-29,25,4095469,Anatomy,29,Human
mai,2026-07-01,2026-08-29,1,33063520,अश्लील_चलचित्र_अभिनेत्री,425,हेले_पाइज
mai,2026-07-01,2026-08-29,2,8245555,American_pornographic_film_actresses,293,हेले_पाइज
mai,2026-07-01,2026-08-29,3,8245506,American_female_adult_models,156,Riley_Steele
mai,2026-07-01,2026-08-29,4,1411417,India,131,List_of_districts_in_India
mai,2026-07-01,2026-08-29,5,1457673,Geography,80,North_America
mai,2026-07-01,2026-08-29,6,7085149,Nepal,71,Bhaktapur
mai,2026-07-01,2026-08-29,7,6645404,American_actresses,70,Sasha_Grey
mai,2026-07-01,2026-08-29,8,7030483,Indian_politicians,70,Nayab_Singh_Saini
mai,2026-07-01,2026-08-29,9,5610083,Asia,66,Muscat
mai,2026-07-01,2026-08-29,10,8298820,Bharatiya_Janata_Party_politicians,62,Nayab_Singh_Saini
mai,2026-07-01,2026-08-29,11,63992411,India_MPs_2019–2024,61,Nayab_Singh_Saini
mai,2026-07-01,2026-08-29,12,7331707,Capital_cities_in_Asia,58,Muscat
mai,2026-07-01,2026-08-29,13,9126476,Cities,58,Muscat
mai,2026-07-01,2026-08-29,14,8383492,Districts_of_India,56,List_of_districts_in_India
mai,2026-07-01,2026-08-29,15,7146402,Madhya_Pradesh,53,Kumbh_Mela
mai,2026-07-01,2026-08-29,16,8383784,Districts_of_Nepal,51,Diktel_Rupakot_Majhuwagadhi_Municipality
mai,2026-07-01,2026-08-29,17,33063556,मध्य_प्रदेशक_जिलासभ,51,Bhopal_district
mai,2026-07-01,2026-08-29,18,1983910,Hinduism,50,Ram_Janmabhoomi
mai,2026-07-01,2026-08-29,19,6493807,Cricket,47,Jack_Hobbs
mai,2026-07-01,2026-08-29,20,1411125,United_Kingdom,46,Jack_Hobbs
mai,2026-07-01,2026-08-29,21,3919792,Actors,45,Disha_Patani
mai,2026-07-01,2026-08-29,22,8245514,American_female_erotic_dancers,42,सरेना_ली
mai,2026-07-01,2026-08-29,23,8245580,American_film_actresses,41,Sasha_Grey
mai,2026-07-01,2026-08-29,24,8268823,Cricketers,39,Virender_Sehwag
mai,2026-07-01,2026-08-29,25,33063593,रामेछाप_जिलाक_गाउँ_विकास_समिति_तथा_नगरपालिकासभ,37,Khaniyapani
ml,2026-07-01,2026-08-29,1,1411417,India,1087,North_Malabar
