lang,start_date,end_date,rank,category_qid,category_en,views,top_article_en
bh,2026-07-01,2026-08-29,25,86309626,Bhojpuri-language_playback_singers,3273,Pawan_Singh
bn,2026-07-01,2026-08-29,1,1411417,India,1452755,Shyama_Prasad_Mukherjee
bn,2026-07-01,2026-08-29,2,1455458,Bangladesh,942522,Bangladesh
bn,2026-07-01,2026-08-29,3,1457673,Geography,755435,Bangladesh
bn,2026-07-01,2026-08-29,4,1984000,Islam,606918,Inna_lillahi_wa_inna_ilayhi_raji'un
bn,2026-07-01,2026-08-29,5,5611338,Association_football,492107,2026_FIFA_World_Cup
bn,2026-07-01,2026-08-29,6,1457402,Biology,446678,Sexual_intercourse
bn,2026-07-01,2026-08-29,7,1983910,Hinduism,816066,Shyama_Prasad_Mukherjee
bn,2026-07-01,2026-08-29,8,1457595,History,715829,Muhammad
bn,2026-07-01,2026-08-29,9,8287974,Bangladesh_Nationalist_Party_politicians,405609,Mirza_Fakhrul_Islam_Alamgir
bn,2026-07-01,2026-08-29,10,8297418,Bengali_people,786160,Shyama_Prasad_Mukherjee
bn,2026-07-01,2026-08-29,11,1458083,Science,534186,Sexual_intercourse
bn,2026-07-01,2026-08-29,12,8303056,Sexuality,346426,Sexual_intercourse
bn,2026-07-01,2026-08-29,13,1410960,United_States,342778,2026_FIFA_World_Cup
bn,2026-07-01,2026-08-29,14,8297344,Bengali-language_films,209466,Keu_Bole_Biplobi_Keu_Bole_Dakat
bn,2026-07-01,2026-08-29,15,6582583,Subdivisions_of_Bangladesh,230420,Dhaka_Division
bn,2026-07-01,2026-08-29,16,1457109,Plants,238166,Kalanchoe_pinnata
bn,2026-07-01,2026-08-29,17,4325,History_of_Bangladesh,366473,Bangladesh
bn,2026-07-01,2026-08-29,18,8297423,Bengali_writers,396751,Rabindranath_Tagore
bn,2026-07-01,2026-08-29,19,4966070,Calendars,178785,Wives_of_Muhammad
bn,2026-07-01,2026-08-29,20,8866836,Unions_of_Bangladesh,133854,Bhujpur_Union
bn,2026-07-01,2026-08-29,21,4049595,Internet,169107,.bf
bn,2026-07-01,2026-08-29,22,8287971,Awami_League_politicians,200182,Dipu_Moni
bn,2026-07-01,2026-08-29,23,2944929,Culture,573214,Bengali_language
bn,2026-07-01,2026-08-29,24,4103183,Politics,328997,Bangladesh_Nationalist_Party
bn,2026-07-01,2026-08-29,25,15284256,Organisations_based_in_Dhaka,122386,University_of_Dhaka
bpy,2026-07-01,2026-08-29,1,4966070,Calendars,73195,Gregorian_calendar
bpy,2026-07-01,2026-08-29,2,8866836,Unions_of_Bangladesh,51603,"বড়_পাঙ্গাশি_ইউনিয়ন,_উল্লাপাড়া"
bpy,2026-07-01,2026-08-29,3,1457673,Geography,40203,Country
bpy,2026-07-01,2026-08-29,4,9744506,তিলপারাষ্ট্রর_প্রশাসনিক_লয়াগি,31304,New_York_(state)
bpy,2026-07-01,2026-08-29,5,9055965,Populated_places_in_Brazil,18108,Rio_dos_Índios
bpy,2026-07-01,2026-08-29,6,6582583,Subdivisions_of_Bangladesh,12305,Dhaka_Division
bpy,2026-07-01,2026-08-29,7,1411417,India,10341,India
bpy,2026-07-01,2026-08-29,8,7705588,Cities_and_towns_in_Tamil_Nadu,5922,Vadalur
bpy,2026-07-01,2026-08-29,9,6581988,Municipalities_in_São_Paulo_(state),5713,Rio_dos_Índios
bpy,2026-07-01,2026-08-29,10,6280391,Municipalities_of_Norway,4893,Vaksdal_Municipality
bpy,2026-07-01,2026-08-29,11,9738803,জাতীয়_ফিরালহানি,4371,Flag_of_Burkina_Faso
bpy,2026-07-01,2026-08-29,12,6159896,National_coats_of_arms,4087,Coat_of_arms_of_Burkina_Faso
bpy,2026-07-01,2026-08-29,13,7471370,মিনাস_জেরায়িসর_পৌরসভাহানি,5728,Uberlândia
bpy,2026-07-01,2026-08-29,14,7705185,Cities_and_towns_in_West_Bengal,3693,Guriahati
bpy,2026-07-01,2026-08-29,15,9057471,Cities_and_towns_in_Uttar_Pradesh,4220,"Erich,_Uttar_Pradesh"
bpy,2026-07-01,2026-08-29,16,9798400,লইনাসে,76488,2007
bpy,2026-07-01,2026-08-29,17,6326402,Upazilas,10874,"Kotwali_Thana,_Chittagong"
bpy,2026-07-01,2026-08-29,18,7470975,Municipalities_in_Paraná_(state),3257,Paraná_(state)
bpy,2026-07-01,2026-08-29,19,1458083,Science,2505,Encyclopedia
bpy,2026-07-01,2026-08-29,20,7473514,Populated_places_in_Rio_Grande_do_Sul,3462,Rio_dos_Índios
bpy,2026-07-01,2026-08-29,21,7473482,Municipalities_in_Santa_Catarina_(state),2250,"Atalanta,_Santa_Catarina"
bpy,2026-07-01,2026-08-29,22,9023013,Municipalities_in_Piauí,1703,Francinópolis
bpy,2026-07-01,2026-08-29,23,9056565,Cities_and_towns_in_Madhya_Pradesh,2012,Jaora
bpy,2026-07-01,2026-08-29,24,9056291,Cities_and_towns_in_Gujarat,1752,Nadiad
bpy,2026-07-01,2026-08-29,25,1455458,Bangladesh,5964,Bangladesh
dty,2026-07-01,2026-08-29,1,1457673,Geography,21422,Darjeeling
dty,2026-07-01,2026-08-29,2,1411417,India,10755,Darjeeling
dty,2026-07-01,2026-08-29,3,7031185,Nepalese_people,5357,Pushpa_Kamal_Dahal
dty,2026-07-01,2026-08-29,4,1983910,Hinduism,6040,Janaki_Mandir
dty,2026-07-01,2026-08-29,5,4049595,Internet,2418,Dailymotion
dty,2026-07-01,2026-08-29,6,1457595,History,3086,Rama
dty,2026-07-01,2026-08-29,7,33094453,अपूर्ण_लेखअन,1909,सुखलिया_थारु
dty,2026-07-01,2026-08-29,8,4274,History_of_Nepal,3925,Prithvi_Narayan_Shah
dty,2026-07-01,2026-08-29,9,2944929,Culture,4627,Gaura_(festival)
dty,2026-07-01,2026-08-29,10,8245580,American_film_actresses,1301,Minka_Kelly
dty,2026-07-01,2026-08-29,11,1457402,Biology,1388,Animal
dty,2026-07-01,2026-08-29,12,33094281,विकिपिडिया_सहायता,904,Helppage
dty,2026-07-01,2026-08-29,13,4103183,Politics,2211,World_War_II
dty,2026-07-01,2026-08-29,14,33093952,नेपालका_राजमार्ग,813,Pushpalal_Highway
dty,2026-07-01,2026-08-29,15,33093858,अपूर्ण_लेख,3891,Pushpa_Kamal_Dahal
dty,2026-07-01,2026-08-29,16,33093931,नेपाल,1834,Sayaun_Thunga_Phulka
dty,2026-07-01,2026-08-29,17,33093925,दैलेख_जिल्ला,647,Dailekh_District
dty,2026-07-01,2026-08-29,18,8259,Literature,1805,Madhav_Prasad_Ghimire
dty,2026-07-01,2026-08-29,19,7029083,Nepalese_politicians,3445,Pushpa_Kamal_Dahal
dty,2026-07-01,2026-08-29,20,8289099,Banks_of_Nepal,578,List_of_banks_in_Nepal
dty,2026-07-01,2026-08-29,21,1457109,Plants,931,Plant
dty,2026-07-01,2026-08-29,22,6493807,Cricket,993,Mahesh_Chhetri
dty,2026-07-01,2026-08-29,23,4103249,Education,958,Encyclopedia
dty,2026-07-01,2026-08-29,24,6265153,Pornographic_film_actresses,640,Mia_Khalifa
dty,2026-07-01,2026-08-29,25,1457982,Sports,716,Association_football
gom,2026-07-01,2026-08-29,1,33086357,Konknni,17231,Ruzai_Saibinnicho_Ters_-_The_Holy_Rosary
gom,2026-07-01,2026-08-29,2,33086326,संवसाराचीं_राष्ट्रां,3128,Italy
gom,2026-07-01,2026-08-29,3,33086319,Itihas_/_History,4044,Arya_Samaj
gom,2026-07-01,2026-08-29,4,33086280,देवाचें_उतर,1992,तालेंतांची_वपार
gom,2026-07-01,2026-08-29,5,33086389,Sonvsaracho_Prosidh_vo_Famadh_Lok,3338,Muhammad_Ali
gom,2026-07-01,2026-08-29,6,33086380,आशीयांतले_देस,1698,India
gom,2026-07-01,2026-08-29,7,33086338,गोंयचीं_शारां_आनी_जागे,1163,Tivim
gom,2026-07-01,2026-08-29,8,33086272,"Prosidh,_Famadh_Monxeam",1788,Sonia_Shirsat
gom,2026-07-01,2026-08-29,9,33086281,"प्रसीध,_फामाध_मंश्यां",1062,Mahadev_Govind_Ranade
gom,2026-07-01,2026-08-29,10,33086325,Sonvsarachim_Raxttram,958,Bharot
gom,2026-07-01,2026-08-29,11,33086375,उत्तर_अमेरिकेंतले_देस,602,Haiti
gom,2026-07-01,2026-08-29,12,33086275,"Sonvsarachim_Prosidh/Famadh_Xharam,_Ganv_ani_Zage",868,United_States
gom,2026-07-01,2026-08-29,13,33086372,भास,572,Konkani_language
gom,2026-07-01,2026-08-29,14,33086330,धाक्टें_पान,608,Solkadhi
gom,2026-07-01,2026-08-29,15,33086317,तत्वाशास्त्र_/_Philosophy,557,Religion
gom,2026-07-01,2026-08-29,16,33086374,दक्षिण_अमेरिकेंतले_देस,454,Brazil
gom,2026-07-01,2026-08-29,17,33086361,कोंकणी_लेखक,594,शणै_गोंयबाब
gom,2026-07-01,2026-08-29,18,33086257,"Goemchim_Xharam,_Ganv_ani_Zage",962,Bom_Jesus_Basilica
gom,2026-07-01,2026-08-29,19,33086367,Bharotachem_rajyam,679,Gõy
gom,2026-07-01,2026-08-29,20,33086350,Khell,368,गरबा
gom,2026-07-01,2026-08-29,21,33086335,ರೊಮನ್_ಕಾಥ್ಲಿಕ್_ಆಂಚಿಂ_ಮಾಗ್ಣಿಂ,312,ರೂಜಾಯ್_ಸಾಯ್ಬಿಣಿಚೊ_ತೆರ್ಸ್
gom,2026-07-01,2026-08-29,22,33086314,Dhorm_/_Religion,3726,Arya_Samaj
gom,2026-07-01,2026-08-29,23,33086304,!_रोमान_काथलीक_आंचीं_मागणीं,245,भव_फळादीक_मागणें_सांत_आंतणीक
gom,2026-07-01,2026-08-29,24,33086267,Konkani,276,Konknni_bhas
gom,2026-07-01,2026-08-29,25,33086321,"इंदयेच्यो_प्रसिद_/_फामाध_शहारां,_गांव_आनी_जागे",221,रायगड
gu,2026-07-01,2026-08-29,1,1411417,India,258374,Gujarati_language
gu,2026-07-01,2026-08-29,2,8898916,Villages_in_Gujarat,147027,હાડોલ_(તા._સતલાસણા)
gu,2026-07-01,2026-08-29,3,1983910,Hinduism,181623,Guru_Purnima
gu,2026-07-01,2026-08-29,4,1458083,Science,55711,Weather
gu,2026-07-01,2026-08-29,5,7146011,Gujarat,108936,Gujarati_language
gu,2026-07-01,2026-08-29,6,8502399,Gujarati-language_writers,74143,Mahatma_Gandhi
gu,2026-07-01,2026-08-29,7,5610882,«نوع»_میکروفورماتلاری_اولان_مقاله‌لر,42273,Withania_somnifera
gu,2026-07-01,2026-08-29,8,1457673,Geography,63108,India
gu,2026-07-01,2026-08-29,9,8828712,Talukas_of_Gujarat,28006,List_of_talukas_of_Gujarat
gu,2026-07-01,2026-08-29,10,1457595,History,76956,Vallabhbhai_Patel
gu,2026-07-01,2026-08-29,11,9056291,Cities_and_towns_in_Gujarat,45610,Ahmedabad
gu,2026-07-01,2026-08-29,12,4049213,Time,29519,Weather
gu,2026-07-01,2026-08-29,13,6994462,Indian_people,99607,Mahatma_Gandhi
gu,2026-07-01,2026-08-29,14,8518207,History_of_Gujarat,32160,"Sun_Temple,_Modhera"
gu,2026-07-01,2026-08-29,15,1410960,United_States,21723,Mia_Khalifa
gu,2026-07-01,2026-08-29,16,4095812,Medicine,22596,Masturbation
gu,2026-07-01,2026-08-29,17,8502407,Gujarati_people,61800,Mahatma_Gandhi
gu,2026-07-01,2026-08-29,18,8901033,Tourist_attractions,21368,પરબધામ_(તા._ભેંસાણ)
gu,2026-07-01,2026-08-29,19,2944929,Culture,72854,Gujarati_language
gu,2026-07-01,2026-08-29,20,8502406,Gujarati_literature,24159,Gujarati_language
gu,2026-07-01,2026-08-29,21,4619,Mathematics,16467,Gujarati_numerals
gu,2026-07-01,2026-08-29,22,4630,History_of_India,116706,Independence_Day_(India)
gu,2026-07-01,2026-08-29,23,1457402,Biology,41223,Oral_sex
gu,2026-07-01,2026-08-29,24,4884546,Technology,16868,Google
gu,2026-07-01,2026-08-29,25,4026633,Economics,13088,B._R._Ambedkar
hi,2026-07-01,2026-08-29,1,1411417,India,6492544,Independence_Day_(India)
hi,2026-07-01,2026-08-29,2,1983910,Hinduism,3406819,India
hi,2026-07-01,2026-08-29,3,7030483,Indian_politicians,2245140,Dharmendra_Pradhan
hi,2026-07-01,2026-08-29,4,5668044,Indian_films,1229065,Ramayana:_Part_1
hi,2026-07-01,2026-08-29,5,1457595,History,1685309,The_Buddha
hi,2026-07-01,2026-08-29,6,1457673,Geography,1214665,India
hi,2026-07-01,2026-08-29,7,1457402,Biology,753842,Sexual_intercourse
hi,2026-07-01,2026-08-29,8,6994462,Indian_people,3304724,Neem_Karoli_Baba
hi,2026-07-01,2026-08-29,9,4630,History_of_India,2481991,Independence_Day_(India)
hi,2026-07-01,2026-08-29,10,5897849,Wikipedia:Beleg_fehlet,1468440,Independence_Day_(India)
hi,2026-07-01,2026-08-29,11,1410960,United_States,533026,Mia_Khalifa
hi,2026-07-01,2026-08-29,12,1458083,Science,924418,Sexual_intercourse
hi,2026-07-01,2026-08-29,13,1457109,Plants,514868,Cannabis_sativa
hi,2026-07-01,2026-08-29,14,7214658,Cities_and_towns_in_India,877838,States_and_union_territories_of_India
hi,2026-07-01,2026-08-29,15,2944929,Culture,1284933,Raksha_Bandhan
hi,2026-07-01,2026-08-29,16,4103183,Politics,937527,Cockroach_Janta_Party
hi,2026-07-01,2026-08-29,17,8544429,Indian_Buddhists,394014,Sonam_Wangchuk
hi,2026-07-01,2026-08-29,18,2945924,Lists,621101,Sex_position
hi,2026-07-01,2026-08-29,19,7146502,Rajasthan,485660,Khatu_Shyam_Temple
hi,2026-07-01,2026-08-29,20,8410100,Elections_in_India,299830,2027_elections_in_India
hi,2026-07-01,2026-08-29,21,8545835,Indian_television_soap_operas,190218,CID_(Indian_TV_series)
hi,2026-07-01,2026-08-29,22,8703545,Sanskrit,567882,Rama_Raksha_Stotra
hi,2026-07-01,2026-08-29,23,6493807,Cricket,338925,Virat_Kohli
hi,2026-07-01,2026-08-29,24,1984000,Islam,470706,Kabir
hi,2026-07-01,2026-08-29,25,8514332,Hindi-language_literature,345321,Premchand
kn,2026-07-01,2026-08-29,1,1411417,India,563614,Independence_Day_(India)
kn,2026-07-01,2026-08-29,2,1983910,Hinduism,283677,Basava
kn,2026-07-01,2026-08-29,3,1458083,Science,158255,Sexual_intercourse
kn,2026-07-01,2026-08-29,4,7145985,Karnataka,228877,Kannada
kn,2026-07-01,2026-08-29,5,33044957,ಮೈಸೂರು_ವಿಶ್ವವಿದ್ಯಾನಿಲಯ_ವಿಶ್ವಕೋಶ,173173,Western_Ganga_dynasty
kn,2026-07-01,2026-08-29,6,8570349,Kannada_literature,148535,Kuvempu
kn,2026-07-01,2026-08-29,7,1457673,Geography,145806,ಕರ್ನಾಟಕದ_ನದಿಗಳು
kn,2026-07-01,2026-08-29,8,1457595,History,207813,B._R._Ambedkar
kn,2026-07-01,2026-08-29,9,9727294,ಕಡತ_ಕೊಂಡಿಗಳು_ಮುರಿದಿರುವ_ಪುಟಗಳು,182206,Guru_Purnima
kn,2026-07-01,2026-08-29,10,1457402,Biology,126071,Sexual_intercourse
kn,2026-07-01,2026-08-29,11,8518422,History_of_Karnataka,162248,Kannada
kn,2026-07-01,2026-08-29,12,8570330,Kannada-language_films,38264,Kalaya_Tasmai_Namaha
kn,2026-07-01,2026-08-29,13,2944929,Culture,164457,Kannada
kn,2026-07-01,2026-08-29,14,1457109,Plants,77618,Herbal_medicine
kn,2026-07-01,2026-08-29,15,9731652,ಕನ್ನಡ_ವ್ಯಾಕರಣ,32286,Kannada_grammar
kn,2026-07-01,2026-08-29,16,9760560,ಚುಟುಕು,64053,Raksha_Bandhan
kn,2026-07-01,2026-08-29,17,9844264,ಸಾಹಿತಿಗಳು,136610,Shivaram_Karanth
kn,2026-07-01,2026-08-29,18,4630,History_of_India,240116,Independence_Day_(India)
kn,2026-07-01,2026-08-29,19,4103183,Politics,81011,B._R._Ambedkar
kn,2026-07-01,2026-08-29,20,8259,Literature,89448,ಜ್ಞಾನಪೀಠ_ಪ್ರಶಸ್ತಿ_ಪುರಸ್ಕೃತ_ಕನ್ನಡಿಗರು
kn,2026-07-01,2026-08-29,21,1983760,Psychology,46212,Sexual_intercourse
kn,2026-07-01,2026-08-29,22,8571048,Politicians_from_Karnataka,31580,D._Devaraj_Urs
kn,2026-07-01,2026-08-29,23,33045230,ಉಲ್ಲೇಖವಿಲ್ಲದ_ಲೇಖನಗಳು,46471,ಹಡಪದ_ಅಪ್ಪಣ್ಣ
kn,2026-07-01,2026-08-29,24,7192108,Pages_with_script_errors,189260,Kuvempu
kn,2026-07-01,2026-08-29,25,5461174,Months,20182,Calendar
ks,2026-07-01,2026-08-29,1,1411417,India,25767,Soni_Razdan
ks,2026-07-01,2026-08-29,2,4026570,Countries,10246,United_States
ks,2026-07-01,2026-08-29,3,6675695,Days_of_the_year,9560,May
ks,2026-07-01,2026-08-29,4,1984000,Islam,10391,Inna_lillahi_wa_inna_ilayhi_raji'un
ks,2026-07-01,2026-08-29,5,7157802,Animals,4818,Human
ks,2026-07-01,2026-08-29,6,1455849,Pakistan,6212,Rawalpindi
ks,2026-07-01,2026-08-29,7,7029947,Pakistani_people,4862,Jaun_Elia
ks,2026-07-01,2026-08-29,8,6517860,Computer_science,3299,Wikipedia
ks,2026-07-01,2026-08-29,9,8571195,Kashmiri_people,5978,Soni_Razdan
ks,2026-07-01,2026-08-29,10,19473974,2026-cı_ildəki_hadisələr,3960,2025–2026_Iranian_protests
ks,2026-07-01,2026-08-29,11,4095469,Anatomy,3787,Human
ks,2026-07-01,2026-08-29,12,6998861,Kashmir,5726,Kashmiri_language
ks,2026-07-01,2026-08-29,13,1458269,Film,3506,Saiyaara_(film)
ks,2026-07-01,2026-08-29,14,6994462,Indian_people,13760,Soni_Razdan
ks,2026-07-01,2026-08-29,15,7214908,Events,2870,Sudanese_civil_war_(2023–present)
ks,2026-07-01,2026-08-29,16,1456095,South_Korea,2264,Stray_Kids
ks,2026-07-01,2026-08-29,17,1457903,Religion,6483,Pope_Leo_XIV
ks,2026-07-01,2026-08-29,18,7134786,Fruit,1246,Syzygium_cumini
ks,2026-07-01,2026-08-29,19,5980263,Districts_of_Gujarat,1159,Sabarkantha_district
ks,2026-07-01,2026-08-29,20,7145943,Radiology,928,Magnetic_resonance_angiography
ks,2026-07-01,2026-08-29,21,7237893,Pakistani_Muslims,2687,Muhammad_Ali_Mirza
ks,2026-07-01,2026-08-29,22,1456850,Birds,1694,Common_myna
ks,2026-07-01,2026-08-29,23,7130256,History_of_Islam,4023,Muhammad
ks,2026-07-01,2026-08-29,24,6482368,Chemical_compounds,840,Morphine
ks,2026-07-01,2026-08-29,25,7217118,Television_series,1006,Game_of_Thrones
mai,2026-07-01,2026-08-29,1,1411417,India,95239,Badshah_(rapper)
mai,2026-07-01,2026-08-29,2,7085149,Nepal,34253,Mera_Peak
mai,2026-07-01,2026-08-29,3,4966070,Calendars,22220,Season
mai,2026-07-01,2026-08-29,4,1983910,Hinduism,33665,Mizoram
mai,2026-07-01,2026-08-29,5,1457673,Geography,27314,Season
mai,2026-07-01,2026-08-29,6,30330333,Rural_municipalities_of_Nepal,9268,Chhatrakot_Rural_Municipality
mai,2026-07-01,2026-08-29,7,7030483,Indian_politicians,24497,A._P._J._Abdul_Kalam
mai,2026-07-01,2026-08-29,8,2944929,Culture,15467,Prostitution
mai,2026-07-01,2026-08-29,9,9848152,Hindi-language_films,9573,Nadiya_Ke_Paar_(1982_film)
mai,2026-07-01,2026-08-29,10,8545100,Indian_film_actresses,31560,Mandakini_(actress)
mai,2026-07-01,2026-08-29,11,1457402,Biology,7690,Vagina
mai,2026-07-01,2026-08-29,12,1457595,History,16338,Jagat_Gosain
mai,2026-07-01,2026-08-29,13,1457109,Plants,6049,Chayote
mai,2026-07-01,2026-08-29,14,7029083,Nepalese_politicians,9207,Om_Prakash_Sharma_(Nepali_politician)
mai,2026-07-01,2026-08-29,15,3919792,Actors,35291,Mandakini_(actress)
mai,2026-07-01,2026-08-29,16,8435002,Culture_of_Mithila,4179,Madhushravani
mai,2026-07-01,2026-08-29,17,9776603,Municipalities_of_Nepal,6219,"Mahakali,_Darchula"
mai,2026-07-01,2026-08-29,18,33063520,अश्लील_चलचित्र_अभिनेत्री,3079,Sydnee_Steele
mai,2026-07-01,2026-08-29,19,8259,Literature,7127,Chacha_Chaudhary
mai,2026-07-01,2026-08-29,20,7030643,Indian_Hindus,25780,Jagat_Gosain
mai,2026-07-01,2026-08-29,21,8967563,Football,2714,FIFA
mai,2026-07-01,2026-08-29,22,33063648,सर्वोच्च_गगनचुम्बी,2612,One_World_Trade_Center
mai,2026-07-01,2026-08-29,23,8596727,Maithili-language_writers,2925,रूपेश_त्योंथ
mai,2026-07-01,2026-08-29,24,33063584,गोत्र,2304,गढवाल_(वंश)
mai,2026-07-01,2026-08-29,25,4103183,Politics,7622,Ecology
ml,2026-07-01,2026-08-29,1,1411417,India,765855,Vaikom_Muhammad_Basheer
ml,2026-07-01,2026-08-29,2,1457402,Biology,182687,Sexual_intercourse
ml,2026-07-01,2026-08-29,3,1983910,Hinduism,292122,Onam
ml,2026-07-01,2026-08-29,4,1457673,Geography,192258,Cape_Verde
ml,2026-07-01,2026-08-29,5,8891990,Medicinal_plants,163656,Dasapushpam
